id,image,brand,name,subtitle,price,category,benefits,assetFallback,subtitle_ru,subtitle_en,benefits_ru,benefits_en
multi_protection_balm,multi_protection_palm.png,MERIKIT,Multi-Protection Balm,BB krem • SPF himoyasi,,Himoya,"BB krem va himoya balzami bir mahsulotda|Teri rangini tabiiy tekislaydi|Namlaydi va yengil parvarish qiladi|Yopishqoq emas, yengil qoplama",assets/products/product_2.jpg,BB-крем • защита SPF,BB cream • SPF protection,BB-крем и защитный бальзам в одном средстве|Естественно выравнивает тон кожи|Увлажняет и обеспечивает лёгкий уход|Лёгкое покрытие без липкости,"A BB cream and a protective balm in one|Evens the skin tone naturally|Hydrates and gives light care|A light finish, never sticky"
cc_color_change,cc_color_change_cream.png,Ronas,Color Change CC Cream,Rangga moslashuvchi CC krem,,Himoya,"Teri rangiga moslashuvchi texnologiya|Rangni tenglashtiradi va yoritadi|Namlik beradi, qulay qoplama yaratadi|Har qanday teri turi uchun mos",,"CC-крем, адаптирующийся к тону",Shade-adapting CC cream,Технология адаптации к тону кожи|Выравнивает и осветляет тон|Увлажняет и создаёт комфортное покрытие|Подходит для любого типа кожи,Technology that adapts to your skin tone|Evens and brightens the tone|Hydrates and gives a comfortable finish|Suits every skin type
vita_c_return_serum,vita_c_return_serum.png,MERIKIT,Vita-C Return Serum,50 ml,,Oqartiruvchi,"Teri rangini tiniqlashtiradi, sog'lom yaltirash beradi|Vitamin C, B3 va E hujayra yangilanishini rag'batlantiradi|Dog'lar va xiralikni kamaytiradi|Tez so'riladi, yog'li his qoldirmaydi",,50 мл,50 ml,"Осветляет тон и даёт здоровое сияние|Витамины C, B3 и E стимулируют обновление клеток|Уменьшает пятна и тусклость|Быстро впитывается, не оставляет жирности","Brightens the tone and gives a healthy glow|Vitamins C, B3 and E stimulate cell renewal|Reduces spots and dullness|Absorbs quickly with no greasy feel"
vita_c_return_cream,vita_c_return_cream.png,MERIKIT,Vita Return Cream,50 ml,,Oqartiruvchi,"Teringa sog'lom yaltirash va tiniqlik beradi|Antioksidantlar erta qarishni kamaytiradi|Teri rangini tenglashtiradi|Yengil, chuqur namlovchi tuzilma",,50 мл,50 ml,Придаёт коже здоровое сияние и чистоту|Антиоксиданты замедляют раннее старение|Выравнивает тон кожи|Лёгкая глубоко увлажняющая текстура,"Gives skin a healthy glow and clarity|Antioxidants slow early ageing|Evens the skin tone|A light, deeply hydrating texture"
clarity_toner,clarity_skin.png,MERIKIT,Clarity Snow Skin Toner,500 ml,,Oqartiruvchi,Teri pH muvozanatini tiklaydi|Dog'lar va xiralikni kamaytiradi|Yog' balansi va teshiklarni me'yorda ushlaydi|Keyingi bosqichlar uchun tayyorlaydi,,500 мл,500 ml,Восстанавливает pH-баланс кожи|Уменьшает пятна и тусклость|Держит себум и поры в норме|Подготавливает кожу к следующим шагам,Restores the skin's pH balance|Reduces spots and dullness|Keeps oil and pores in check|Prepares the skin for what follows
clarity_serum,clarity_serum.png,MERIKIT,Clarity Serum,250 ml,,Oqartiruvchi,"Notekis ohangni tekislaydi|Pigmentatsiya izlarini kamaytiradi|Poralarni toraytiradi, yuzani silliqlaydi|Namlikni chuqur ta'minlaydi",,250 мл,250 ml,Выравнивает неровный тон|Уменьшает следы пигментации|Сужает поры и разглаживает лицо|Обеспечивает глубокое увлажнение,Evens out an uneven tone|Fades marks left by pigmentation|Tightens pores and smooths the face|Delivers deep hydration
clarity_c_cream,clarity_c_cream.png,MERIKIT,Clarity C Cream,210 ml,,Oqartiruvchi,Pigment dog'lari bilan kurashadi|Acerola ekstrakti — kuchli vitamin C manbasi|Teri yuzasini silliq qiladi|Tashqi muhitdan himoya qiladi,,210 мл,210 ml,Борется с пигментными пятнами|Экстракт ацеролы — мощный источник витамина C|Делает поверхность кожи гладкой|Защищает от внешней среды,Works against pigment spots|Acerola extract — a strong source of vitamin C|Smooths the surface of the skin|Protects against the environment
vita_c13_ampoule,vita_c13_ampule.png,MERIKIT,Vita-C 13 Ampoule,5 ml × 10 flakon,,Oqartiruvchi,13% sof Vitamin C bilan rangni tiniqlashtiradi|Glutathione melanin sintezini inhibe qiladi|Teri elastikligini yaxshilaydi|Poralarni toraytiradi va tozalaydi,,5 мл × 10 флаконов,5 ml × 10 vials,13% чистого витамина C осветляют тон|Глутатион подавляет синтез меланина|Улучшает упругость кожи|Сужает и очищает поры,13% pure vitamin C brightens the tone|Glutathione inhibits melanin synthesis|Improves skin elasticity|Tightens and clears the pores
vita_c13_mask,vita_mask.png,MERIKIT,Vita C 13 Mask,1 quti — 5 dona,,Niqob,13% sof Vitamin C teriga chuqur ta'sir qiladi|Melanin sintezini nazorat qiladi|Teri to'sig'ini mustahkamlaydi|Antioksidant himoya beradi,,1 коробка — 5 шт,Box of 5,13% чистого витамина C работают глубоко в коже|Контролирует синтез меланина|Укрепляет барьер кожи|Обеспечивает антиоксидантную защиту,13% pure vitamin C works deep in the skin|Keeps melanin synthesis in check|Strengthens the skin barrier|Provides antioxidant protection
brightening_mask,brightening_mask.png,MERIKIT,Brightening Sheet Mask,1 quti — 10 dona,,Niqob,Notekis teri rangini bir tekislashtiradi|Pigment dog'lari va quyosh izlari bilan kurashadi|Chuqur namlik yetkazadi|15–20 daqiqada yorqin ko'rinish,,1 коробка — 10 шт,Box of 10,Выравнивает неровный тон кожи|Борется с пигментными пятнами и следами солнца|Доставляет глубокое увлажнение|Сияющий вид за 15–20 минут,Evens out an uneven complexion|Works against pigment spots and sun marks|Delivers moisture deep down|A brighter look in 15–20 minutes
calming_mask,regenerating_calming_mask.png,MERIKIT,Regenerating Calming Mask,300 ml,,Tinchlantiruvchi,"Sezuvchan terini tinchlantiradi, qizarishni kamaytiradi|Yallig'lanishga qarshi va tiklovchi ta'sir|Namlikni uzoq muddat saqlaydi|Teri to'siq funksiyasini mustahkamlaydi",,300 мл,300 ml,Успокаивает чувствительную кожу и снимает покраснение|Противовоспалительное и восстанавливающее действие|Надолго удерживает влагу|Укрепляет барьерную функцию кожи,Calms sensitive skin and reduces redness|Anti-inflammatory and restorative|Holds moisture in for hours|Strengthens the skin's barrier function
calming_serum,regenetaing_calming_serum.png,MERIKIT,Regenerating Calming Serum,250 ml,,Tinchlantiruvchi,"Yallig'lanishni kamaytiradi, tirnashni oldini oladi|Teri himoya to'sig'ini mustahkamlaydi|Quruqlik va qichishishni yo'qotadi|Teri tiklanishini tezlashtiradi",,250 мл,250 ml,Снимает воспаление и предупреждает раздражение|Укрепляет защитный барьер кожи|Устраняет сухость и зуд|Ускоряет восстановление кожи,Reduces inflammation and prevents irritation|Strengthens the skin's protective barrier|Clears up dryness and itching|Speeds up skin recovery
azulene_blue_1000,azulene_blue1000_cream.png,MERIKIT,Azulene Blue 1000 Cream,210 ml,,Tinchlantiruvchi,77% romashka suvi terini tinchlantiradi|Qizarish va tirnashni kamaytiradi|Namlik va yog' muvozanatini saqlaydi|Makiyaj ostida tayyorlov sifatida ishlaydi,,210 мл,210 ml,77% ромашковой воды успокаивают кожу|Уменьшает покраснение и раздражение|Сохраняет баланс влаги и себума|Работает как база под макияж,77% chamomile water calms the skin|Reduces redness and irritation|Keeps moisture and oil in balance|Doubles as a primer under makeup
hydro_ampoule,multi_hyrdo_ampoule.png,MERIKIT,Hydro Ampoule,50 ml,,Ampula,"Chuqur namlik beradi, suv muvozanatini tiklaydi|Quruqlik va tirnashni kamaytiradi|Teri elastikligini oshiradi|Bo'yanish ostida mukammal asos",,50 мл,50 ml,Глубоко увлажняет и восстанавливает водный баланс|Уменьшает сухость и раздражение|Повышает упругость кожи|Отличная основа под макияж,Hydrates deeply and restores the water balance|Reduces dryness and irritation|Improves skin elasticity|An excellent base under makeup
campo_ampoule,multi_campo_ampoule.png,MERIKIT,Campo Ampoule,50 ml,,Ampula,Sezuvchan va yallig'langan terini tinchlantiradi|Centella va Madecassoside tiklaydi|Teri himoya qatlamini tiklaydi|Teri sirtini silliq va yumshoq qiladi,,50 мл,50 ml,Успокаивает чувствительную и воспалённую кожу|Центелла и мадекассозид восстанавливают кожу|Восстанавливает защитный слой кожи|Делает поверхность кожи гладкой и мягкой,Calms sensitive and inflamed skin|Centella and madecassoside repair the skin|Rebuilds the skin's protective layer|Leaves the surface smooth and soft
peptide_ampoule,multi_peptide_ampoule.png,MERIKIT,Peptide Ampoule,50 ml,,Ampula,Yengil lifting va taranglashtiruvchi effekt|Ajinlar va mimika chiziqlarini kamaytiradi|Kollagen ishlab chiqarilishini qo'llab-quvvatlaydi|Quruq va yetuk terini oziqlantiradi,,50 мл,50 ml,Лёгкий лифтинг-эффект и подтяжка|Уменьшает морщины и мимические линии|Поддерживает выработку коллагена|Питает сухую и зрелую кожу,A light lifting and firming effect|Softens wrinkles and expression lines|Supports collagen production|Nourishes dry and mature skin
resting_hydra_mist,resting_hedra_mist.png,Ronas,Resting Hydra Mist,50 ml,,Namlantiruvchi,24 soat davomida intensiv namlik|Qizarish va tirnash hissini yumshatadi|Makiyaj ustiga ham purkash mumkin|Sezuvchan teriga ham mos,,50 мл,50 ml,Интенсивное увлажнение в течение 24 часов|Смягчает покраснение и ощущение раздражения|Можно распылять поверх макияжа|Подходит и для чувствительной кожи,Intensive hydration for 24 hours|Soothes redness and the feeling of irritation|Can be misted over makeup|Suitable for sensitive skin too
super_moist_serum,super_moisturizing_serum.png,MERIKIT,Super Moisturizing Serum,250 ml,,Namlantiruvchi,"Chuqur namlik beradi, suvsizlanishni kamaytiradi|Qo'ziqorin ekstraktlari kompleksi oziqlantiradi|Elastiklikni oshiradi|Tez so'riladi, yog'siz",,250 мл,250 ml,"Глубоко увлажняет и уменьшает обезвоженность|Комплекс грибных экстрактов питает кожу|Повышает упругость|Быстро впитывается, без жирности","Hydrates deeply and reduces dehydration|A mushroom extract complex nourishes the skin|Improves elasticity|Absorbs quickly, never greasy"
super_moist_cream,super_moisturizing_cream.png,MERIKIT,Super Moisturizing Cream,210 ml,,Namlantiruvchi,"Chuqur va uzoq muddatli namlik|Quruqlik va qichishishni kamaytiradi|Teri to'siq funksiyasini mustahkamlaydi|Silliq, yumshoq va elastik ko'rinish",,210 мл,210 ml,"Глубокое и длительное увлажнение|Уменьшает сухость и зуд|Укрепляет барьерную функцию кожи|Гладкий, мягкий и упругий вид","Deep, long-lasting hydration|Reduces dryness and itching|Strengthens the skin's barrier function|A smooth, soft and supple look"
pure_aloe_gel,pure_aloevera.png,MERIKIT,Pure Aloe Vera Gel,500 ml,,Namlantiruvchi,95% sof aloe barg ekstrakti|Qizarish va tirnashni tinchlantiradi|Quyosh yoki peelingdan keyin ideal|Yuz va tana uchun universal,,500 мл,500 ml,95% чистого экстракта листьев алоэ|Успокаивает покраснение и раздражение|Идеально после солнца или пилинга|Универсально для лица и тела,95% pure aloe leaf extract|Calms redness and irritation|Ideal after sun or a peel|Works on both face and body
stem_cell_skin,stem_sell_skin.png,Ronas,Stem Cell Skin,500 ml,,Stem Cell,Teri strukturasini yaxshilaydi va silliqlikni oshiradi|Kollagen va elastin ishlab chiqarilishini rag'batlantiradi|Ajoyib namlik ta'minlaydi|Pigmentatsiya bilan kurashishga yordam beradi,,500 мл,500 ml,Улучшает структуру кожи и добавляет гладкости|Стимулирует выработку коллагена и эластина|Обеспечивает превосходное увлажнение|Помогает бороться с пигментацией,Improves the skin's texture and smoothness|Stimulates collagen and elastin production|Delivers excellent hydration|Helps work against pigmentation
amante_body_milk,amante_body_milk.png,MERIKIT,Amante Body Milk,500 ml,,Tana,"Intensiv va chuqur namlik beradi|Teri yuzasini yumshatadi va oziqlantiradi|Yog'siz, tez singadigan formula|Nozik feminen hid",,500 мл,500 ml,"Даёт интенсивное и глубокое увлажнение|Смягчает и питает поверхность кожи|Формула без масел, быстро впитывается|Нежный женственный аромат","Gives intensive, deep hydration|Softens and nourishes the skin's surface|An oil-free formula that sinks in fast|A delicate, feminine scent"
revital_mask,revital_mask.png,MERIKIT,Revital Mask,1 dona,,Niqob,Teri rangini bir tekislashtiradi|Qizarish va stress belgilarini yumshatadi|Namlikni chuqur yetkazadi|Ajin va taranglik belgilarini kamaytiradi,,1 шт,1 piece,Выравнивает тон кожи|Смягчает покраснение и следы стресса|Доставляет влагу глубоко в кожу|Уменьшает морщины и признаки потери упругости,Evens out the complexion|Soothes redness and signs of stress|Carries moisture deep into the skin|Reduces lines and signs of lost firmness
micellar_water,miceller_water_remover.png,MERIKIT,Micellar Water Remover,500 ml • yuvish shart emas,,Tozalovchi,Mitsellyar texnologiya makiyajni suvsiz oladi|Yengil kislotali formula terini tirnashtirmaydi|Yuvish shart emas — qoldiq qolmaydi|Tozalashdan keyin ham namlik saqlanadi,,500 мл • не требует смывания,500 ml • no rinsing needed,Мицеллярная технология снимает макияж без воды|Слабокислая формула не раздражает кожу|Не требует смывания — не оставляет следов|Влага сохраняется даже после очищения,Micellar technology removes makeup without water|A mildly acidic formula that will not irritate|No rinsing needed — leaves no residue|Moisture stays put even after cleansing
olive_oil_to_foam,oliva_oil_to_foam.png,DocLab,Olive Oil To Foam,200 ml • yog'dan ko'pikka,,Tozalovchi,"Yog' suv bilan ko'pikka aylanadi — bir bosqichda tozalaydi|Zaytun, jojoba va kanola yog'lari|Makiyajni chuqur eritadi|Asal ekstrakti terini yumshatadi",,200 мл • масло в пену,200 ml • oil to foam,"Масло превращается в пену с водой — очищение в один шаг|Масла оливы, жожоба и канолы|Глубоко растворяет макияж|Экстракт мёда смягчает кожу","The oil turns to foam with water — a one-step cleanse|Olive, jojoba and canola oils|Dissolves makeup thoroughly|Honey extract softens the skin"
doclab_8c_sun_serum,doclab_double_8c_sun_serum.png,DocLab,Double Complex 8C Tone Up Sun Serum,SPF50+ / PA++++ • 50 ml,,Himoya,SPF50+ / PA++++ to'liq UV himoya|Tone-up effekti bilan teri rangini yoritadi|Soothing Cooler va Herb Cool kompleksi|Ajinlarga qarshi ta'sir,,SPF50+ / PA++++ • 50 мл,SPF50+ / PA++++ • 50 ml,SPF50+ / PA++++ — полная UV-защита|Осветляет тон с эффектом tone-up|Комплекс Soothing Cooler и Herb Cool|Действие против морщин,SPF50+ / PA++++ full UV protection|Brightens the tone with a tone-up effect|A Soothing Cooler and Herb Cool complex|Works against wrinkles
waterfull_green_sun,waterfull_green_sun_cream.png,Ronas,Waterfull Green Sun Cream,SPF50+ / PA++++ • 50 ml,,Himoya,"SPF50+ / PA++++ yuqori quyosh himoyasi|Suvli yengil tekstura tez so'riladi|Terini namlab, quruqlikni oldini oladi|Kundalik foydalanish uchun mos",,SPF50+ / PA++++ • 50 мл,SPF50+ / PA++++ • 50 ml,SPF50+ / PA++++ — высокая защита от солнца|Лёгкая водянистая текстура быстро впитывается|Увлажняет и предупреждает сухость|Подходит для ежедневного применения,"SPF50+ / PA++++ high sun protection|A light, watery texture that absorbs fast|Hydrates and heads off dryness|Fine for everyday use"
ex13_ampoule,ex13_ampula_extereme_white.png,DocLab,EX13 Extreme Whitening Ampoule,50 ml • professional,,Oqartiruvchi,Niacinamide 6% teri rangini tiniqlashtiradi|Arbutin 5% pigment dog'lariga qarshi|Tranexamic Acid 2% notekis ohangni tekislaydi|Professional darajadagi konsentratsiya,,50 мл • профессиональный,50 ml • professional,Niacinamide 6% осветляет тон кожи|Arbutin 5% против пигментных пятен|Tranexamic Acid 2% выравнивает неровный тон|Концентрация профессионального уровня,Niacinamide 6% brightens the complexion|Arbutin 5% against pigment spots|Tranexamic acid 2% evens an uneven tone|A professional-strength concentration
ex13_cream,ex13_whitening_cream.png,DocLab,EX13 Extreme Whitening Cream,30 ml • professional,,Oqartiruvchi,Niacinamide va Arbutin bilan oqartiruvchi ta'sir|Tranexamic Acid dog'lar ko'rinishini kamaytiradi|Kundalik foydalanish uchun mos|Quyosh kremi bilan birga ishlatish tavsiya etiladi,,30 мл • профессиональный,30 ml • professional,Осветляющее действие с ниацинамидом и арбутином|Транексамовая кислота уменьшает видимость пятен|Подходит для ежедневного применения|Рекомендуется применять вместе с SPF,A brightening action from niacinamide and arbutin|Tranexamic acid makes spots less visible|Fine for everyday use|Best used alongside a sunscreen
hp19_ampoule,hp19_ampule.png,DocLab,HP19 Extreme Moisturizing Ampoule,50 ml • professional,,Ampula,12 xil peptid teri tuzilmasini mustahkamlaydi|7 xil gialuron kislotasi chuqur namlaydi|Quruq va suvsizlangan teri uchun|Professional darajadagi namlantirish,,50 мл • профессиональный,50 ml • professional,12 видов пептидов укрепляют структуру кожи|7 видов гиалуроновой кислоты глубоко увлажняют|Для сухой и обезвоженной кожи|Увлажнение профессионального уровня,Twelve peptides strengthen the skin's structure|Seven hyaluronic acids hydrate deeply|For dry and dehydrated skin|Professional-grade hydration
pd10_ampoule,pd10_ampoule.png,DocLab,PD10 Extreme Revitalizing Ampoule,50 ml • professional,,Ampula,MC-PDRN 10% teri tiklanishini rag'batlantiradi|Muolajadan keyingi tiklanish uchun mos|Teri to'sig'ini mustahkamlaydi|Professional darajadagi konsentratsiya,,50 мл • профессиональный,50 ml • professional,MC-PDRN 10% стимулирует восстановление кожи|Подходит для восстановления после процедур|Укрепляет барьер кожи|Концентрация профессионального уровня,MC-PDRN 10% stimulates skin recovery|Suited to recovery after a treatment|Strengthens the skin barrier|A professional-strength concentration
rejuve_collagen_ampoule,rejuve_collagen_ampule.png,MERIKIT,Rejuve Collagen Ampoule,120 ml • Collagen Line,,Ampula,Kollagen teri elastikligini oshiradi|Ajinlar ko'rinishini kamaytiradi|Teringa taranglik va to'liqlik beradi|Yetuk teri uchun mos,,120 мл • Collagen Line,120 ml • Collagen Line,Коллаген повышает упругость кожи|Уменьшает видимость морщин|Придаёт коже упругость и наполненность|Подходит для зрелой кожи,Collagen improves skin elasticity|Makes wrinkles less visible|Gives skin firmness and fullness|Suited to mature skin
rejuve_collagen_booster,rejuve_collagen_booster.png,MERIKIT,Rejuve Collagen Booster,310 ml • Collagen Line,,Ampula,Kollagen ishlab chiqarilishini qo'llab-quvvatlaydi|Parvarishning birinchi bosqichi sifatida ishlaydi|Teringa namlik va yumshoqlik beradi|Keyingi vositalar samarasini oshiradi,,310 мл • Collagen Line,310 ml • Collagen Line,Поддерживает выработку коллагена|Работает как первый шаг ухода|Придаёт коже влагу и мягкость|Усиливает действие следующих средств,Supports collagen production|Works as the first step of a routine|Gives skin moisture and softness|Makes what comes next work harder
rejuve_collagen_duo_cream,rejuve_collagenLine.png,MERIKIT,Rejuve Collagen Duo Cream,100 ml • Collagen Line,,Namlantiruvchi,Kollagen bilan teri elastikligini tiklaydi|Chuqur namlik va oziqlanish beradi|Ajin va so'lish belgilarini kamaytiradi|Kundalik parvarish uchun mos,,100 мл • Collagen Line,100 ml • Collagen Line,Коллаген восстанавливает упругость кожи|Даёт глубокое увлажнение и питание|Уменьшает морщины и признаки увядания|Подходит для ежедневного ухода,Collagen restores the skin's elasticity|Delivers deep hydration and nourishment|Reduces lines and signs of fatigue|Fine for a daily routine
docellab_water_essence,docellab.png,docellab,Aesthe Derma Luminous Water Essence,50 ml,,Namlantiruvchi,Gialuron kislotasi chuqur namlik beradi|Teringa nur va yorqinlik bag'ishlaydi|Yengil suvli tekstura tez so'riladi|Keyingi bosqichlar uchun tayyorlaydi,,50 мл,50 ml,Гиалуроновая кислота глубоко увлажняет|Дарит коже сияние и яркость|Лёгкая водянистая текстура быстро впитывается|Подготавливает кожу к следующим шагам,"Hyaluronic acid hydrates deeply|Gives skin light and radiance|A light, watery texture absorbs fast|Prepares the skin for what follows"
docellab_water_cream,doclab_cream.png,docellab,Aesthe Derma Luminous Water Cream,80 g,,Namlantiruvchi,"Aqua Ceramide teri to'sig'ini mustahkamlaydi|Namlikni uzoq muddat ushlab turadi|Teringa sog'lom nur beradi|Yengil, yog'siz tuzilma",,80 г,80 g,Aqua Ceramide укрепляет барьер кожи|Надолго удерживает влагу|Придаёт коже здоровое сияние|Лёгкая текстура без масел,"Aqua Ceramide strengthens the skin barrier|Holds moisture in for a long time|Gives skin a healthy glow|A light, oil-free texture"
pidebenone_toner,pidebenone_toner.png,DocLab,Pidebenone Toner,508 ml • PDRN series,,Namlantiruvchi,PDRN teri to'sig'ini mustahkamlaydi|Idebenone kuchli antioksidant himoya beradi|Teri tiklanishini qo'llab-quvvatlaydi|Erkin radikallarga qarshi ta'sir,,508 мл • серия PDRN,508 ml • PDRN series,PDRN укрепляет барьер кожи|Идебенон обеспечивает мощную антиоксидантную защиту|Поддерживает восстановление кожи|Действие против свободных радикалов,PDRN strengthens the skin barrier|Idebenone gives strong antioxidant protection|Supports the skin's recovery|Works against free radicals
snail_repair_skin,snail_repair_skin.png,Ronas,Snail Repair Skin,Tiklovchi toner,,Namlantiruvchi,Shilliqqurt filtrati terini tiklaydi|Namlik va yumshoqlik beradi|Teri yuzasini silliqlaydi|Tozalashdan keyingi birinchi bosqich,,Восстанавливающий тоник,Restoring toner,Фильтрат улитки восстанавливает кожу|Даёт влагу и мягкость|Разглаживает поверхность кожи|Первый шаг после очищения,Snail filtrate repairs the skin|Gives moisture and softness|Smooths the skin's surface|The first step after cleansing
